asset,category,full_ticker,dex,launch_date,days_live,ibkr_proxy,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,calmar,calmar_bench,max_dd,max_dd_bench,t_stat,t_p,t_sig,fold_sharpe_mean,fold_sharpe_std,hansen_spa_p,hansen_spa_sig,dsr,dsr_sig,romano_wolf_p,romano_wolf_sig,n_folds,n_trials,fills_per_day,spread_ann,iv_arb_ann,greeks_ann,funding_ann
URNM,stock,xyz:URNM,xyz,2026-01-29,95,URNM,0.6337544779180081,0.08369540676443266,0.5500590711535754,2.481913681415129,0.1875476337799771,10.614343705905892,0.585269778907431,0.05970736349581208,0.14300312399637896,1.3159546433259792,0.09687426878512562,False,1.4116938523319256,1.9650418259913571,0.022,True,0.6046490666098849,False,0.022,True,2,32,34.85263157894737,0.41052070053191486,-0.012881893034662386,0.0014272784508458263,0.0
OIL,commodity,flx:OIL,flx,2026-01-09,115,USO,2.0895910346909363,1.3925418820689601,0.6970491526219762,2.890943246810065,1.7403249885594454,11.174187648769154,6.382483626149402,0.18700160587701484,0.21818181818181812,1.4374068352381584,0.07740880403862838,False,1.737525186995091,2.290657723237373,0.046,True,0.6815321505468568,False,0.046,True,3,32,42.91304347826087,0.5180925927125509,0.02223211214526062,-0.05735762703683886,0.0
USA500,index_etf,cash:USA500,cash,2026-01-20,104,SPY,0.39967039591553505,0.23368956683544995,0.1659808290800851,2.8705407013403,1.45590341131433,9.216535249806329,2.952080661828325,0.043364494908640805,0.07916096936549083,1.6198982882580113,0.05512478105662655,False,1.9987154834769514,5.1529884684532545,0.022,True,0.6890028368959267,False,0.022,True,3,32,15.134615384615385,0.12835871999999998,0.008792496719653868,-0.0009566860051551662,0.0
SPACEX,pre_ipo,vntl:SPACEX,vntl,2025-11-13,172,,1.5257342231047284,0.8714023555132989,0.6543318675914295,2.5337197801449287,1.490386890953724,9.48645716894187,4.718257690769791,0.16083287953904402,0.18468731735827007,5.476075030404154,1.0703133956901922e-07,True,1.4497816959604304,3.4836448105826374,0.0,True,0.6876364471447114,False,0.0,True,4,32,42.354651162790695,0.5042142000000002,-0.08253297407710099,0.03852204318671673,0.0
OPENAI,pre_ipo,vntl:OPENAI,vntl,2025-11-20,165,,0.4912908210142188,0.62920604607654,-0.13791522506232118,0.8923127155170685,0.6770651453134311,3.3120583480254693,2.0247089958981266,0.1483339873245617,0.31076369362276424,-0.2031963225274682,0.580342675818178,False,1.2480141251282295,1.1010822817597208,1.0,False,0.22231540901625346,False,0.598,False,4,32,40.806060606060605,0.49627865853658554,-0.041701523124110844,-0.040203891380908144,0.0
ANTHROPIC,pre_ipo,vntl:ANTHROPIC,vntl,2025-11-25,160,,2.9076392404888236,1.8241225340854312,1.0835167064033924,4.056262708971224,2.468243844954047,21.94801882224038,9.398992816191196,0.13247843753179459,0.19407638347622763,6.761395429085374,2.696829426440672e-10,True,3.1073858343788716,3.4115098978471763,0.0,True,0.9441105729972825,False,0.0,True,4,32,43.975,0.5695023600000002,-0.10497036659797414,0.06959704089758827,0.0
MAG7,thematic,vntl:MAG7,vntl,2025-12-10,145,XLK,0.4600328296395345,0.1033234236736881,0.35670940596584644,3.5323257606789817,0.45614931777313794,12.511853157452094,0.5828675119891688,0.036767761246105875,0.17726742621333152,2.2880476426280967,0.01207893181517894,True,2.3728081836383197,4.329175448817756,0.004,True,0.8655261230474975,False,0.004,True,4,32,27.344827586206897,0.26850960405405405,0.037329360448965516,-0.017924190124137537,0.0
SEMIS,commodity,vntl:SEMIS,vntl,2026-01-06,118,SOXX,0.9885111381061519,0.7209411648513875,0.2675699732547644,3.3717113828733423,2.2029448147221316,10.774304562473002,4.659190589034243,0.09174709442956948,0.15473528096235792,1.424483550694336,0.0791734598391155,False,2.030666137161248,2.9570522139678053,0.138,False,0.7836940060673506,False,0.138,False,3,32,28.14406779661017,0.2986205276923076,0.046705832764584766,-0.012421507547021239,0.0
ROBOT,thematic,vntl:ROBOT,vntl,2026-01-07,117,BOTZ,0.40047351458308805,0.05619615326222416,0.3442773613208639,2.192508807509863,0.1995912873985222,4.0994190348244075,0.2888004969444859,0.09769030957340075,0.19458468339487087,1.483913525174383,0.07098374231260118,False,1.6463059297825726,3.412406351626316,0.014,True,0.5566497330363878,False,0.014,True,3,32,31.581196581196583,0.35685655384615383,0.04401638399187459,-0.017763223830847316,0.0
INFOTECH,thematic,vntl:INFOTECH,vntl,2026-01-08,116,XLK,0.8535208259310038,0.4733814271829993,0.38013939874800445,4.581544498260529,1.9680910442392732,24.028707052825894,4.276900889235902,0.035520880256044635,0.11068328199383928,2.3372938288823497,0.011047323906046125,True,2.8711633281453746,2.9006980733150485,0.004,True,0.9377281114072142,False,0.004,True,3,32,25.474137931034484,0.26168412307692307,0.03504413599080454,-0.006837394214059464,0.0
NUCLEAR,thematic,vntl:NUCLEAR,vntl,2026-01-30,94,URA,0.5533541016742267,0.05250784663176944,0.5008462550424573,2.3432894331966634,0.12945560757767502,11.866766176905317,0.43828735859694484,0.04663057259450726,0.11980232968584519,1.3459519182195996,0.09202366333701728,False,1.2804184810747414,1.8025308033598273,0.006,True,0.5775278997197932,False,0.006,True,2,32,29.96808510638298,0.3397018978723404,0.02369304752500578,-0.006463134770567137,0.0
DEFENSE,thematic,vntl:DEFENSE,vntl,2026-01-30,93,ITA,-0.08739017707171895,-0.6062275157188743,0.5188373386471554,-0.4584775997619463,-2.3648829584661,-1.4888976717926816,-4.535942132978305,0.05869454881106659,0.13364974639145685,2.047317422889713,0.022847289371854318,True,-0.35146083222807273,0.07417124843667272,0.008,True,0.13512971235340687,False,0.008,True,2,32,26.193548387096776,0.2898346762257169,0.03254861052071942,-6.51813500984072e-05,0.0
ENERGY,thematic,vntl:ENERGY,vntl,2026-02-02,91,XLE,0.5921347773626807,0.09848498025461815,0.49364979710806256,2.3299664443699553,0.3742972936757994,6.5967733709702525,0.7631378454035838,0.08976127328679015,0.1290526748840959,3.92086813693646,0.0001345491673134802,True,1.637411043566351,0.7985227819050988,0.0,True,0.5684651848948875,False,0.0,True,2,32,27.153846153846153,0.29686953739130434,0.035870855718898385,4.870034242478528e-05,0.0
BIOTECH,thematic,vntl:BIOTECH,vntl,2026-02-02,91,XBI,0.8382342179658852,0.48418697461119925,0.3540472433546859,3.1591665340868085,1.6160802951897366,12.307653363876293,6.409361610534879,0.06810674571207484,0.07554371309232348,1.6522919926208741,0.052371018649786216,False,1.7830226239386682,2.2248903373419573,0.046,True,0.7258266794612351,False,0.046,True,2,32,23.52747252747253,0.24799645043478255,0.03807096486965518,-0.02054178222664022,0.0
US500,index_etf,km:US500,km,2026-01-12,112,SPY,0.2850501212773878,0.16919357889216613,0.1158565423852217,3.012749275219221,1.1284604361896042,10.241460826063365,1.8952529028250962,0.027832955290124955,0.08927229639905224,1.030813498111236,0.15306351198853152,False,1.7369220959089506,3.5506565021664684,0.208,False,0.7321722196979112,False,0.208,False,3,32,15.223214285714286,0.13070355789473687,0.02227128839524445,-0.09891308115483166,0.0
USBOND,rates,km:USBOND,km,2026-01-21,103,,-0.027338830334349095,-0.24442458831044434,0.21708575797609525,-0.28860213165382786,-1.6643113304454629,-0.8159541632399457,-3.146409788682756,0.033505350626306725,0.07768364730799183,1.6104593769837368,0.05618882674709025,False,-0.2771854063563077,2.6620312703299898,0.0,True,0.13439802096330217,False,0.0,True,3,32,13.640776699029127,0.13285407529411764,0.017121017339138456,-0.012354101515809918,0.0
SMALL2000,index_etf,km:SMALL2000,km,2026-01-14,110,IWM,0.4228897614411723,0.21671430855243407,0.20617545288873823,2.3297923195059362,0.9004818546636464,5.543602531373831,2.2368405751447487,0.07628428608433631,0.09688411009730107,1.1448410738957853,0.1281153239760029,False,1.6730956763840288,3.9741036302079498,0.046,True,0.5838057403596809,False,0.046,True,3,32,25.37272727272727,0.25607241081081084,0.036323099969646395,-0.017853080963475553,0.0
USTECH,index_etf,km:USTECH,km,2026-01-13,111,QQQ,0.6220305252124668,0.3834750497923151,0.2385554754201517,5.280821206099733,2.081152266873747,20.996217683927913,3.9996265581713484,0.029625837118683326,0.0958777136352555,1.7171570011380108,0.04518610040133819,True,3.364394243801913,5.496483952731527,0.058,False,0.9803734877962088,True,0.058,False,3,32,20.10810810810811,0.18483814054054057,0.026644756744791515,-0.006036555670055725,0.0
USENERGY,index_etf,km:USENERGY,km,2026-02-04,89,XLE,0.5110371387312043,0.07375266090805915,0.4372844778231451,2.2889411377085014,0.30039245267608383,5.281848356796957,0.5684336062592958,0.09675346662945654,0.12974718611977393,3.111129079655059,0.0015673438977629184,True,2.7080109976774067,1.5858355627995866,0.002,True,0.5586084907838875,False,0.002,True,2,32,24.471910112359552,0.26691495090909106,0.03000204721476822,0.0025910838597700617,0.0
USOIL,index_etf,km:USOIL,km,2026-01-22,102,USO,1.8460229541075626,1.9580815502381128,-0.11205859613055025,2.3500662062100903,2.3982517362309292,10.561179205964116,11.305255941919182,0.17479326106549498,0.1732009925558314,-0.24897511987186516,0.597891785391308,False,1.4650792191934263,2.1203801939893516,1.0,False,0.5790757432056084,False,0.684,False,3,32,39.088235294117645,0.4755709411764707,-0.023572525449257205,-0.039290704285381985,0.0
